Taxa(Species/Node),Isolate(SpecimenID/repeat),Centroid_size,Tube_curvature,Lobe_area_ratio,Tube_dilation,Lobe_recurvation
Node_02,rep_010,121133.1503,0.000647743,0.075089356,1.515683044,322.5768053
Node_02,rep_011,122220.7467,0.000629679,0.075891563,1.520347578,328.1941919
Node_02,rep_012,120889.766,0.000625957,0.077207107,1.50885939,347.4394641
Node_02,rep_013,120426.7051,0.000618802,0.07748737,1.507703964,308.5190085
Node_02,rep_014,121201.6272,0.000606289,0.074093869,1.503828309,301.9161097
Node_02,rep_015,121676.1953,0.000634557,0.077542909,1.510360412,346.9701536
Node_02,rep_016,121963.5419,0.000625649,0.074905439,1.49049329,333.7951504
Node_02,rep_017,121720.2443,0.000598728,0.074659223,1.514697104,299.4210017
Node_02,rep_018,121590.3127,0.000656394,0.075518723,1.519544944,322.195595
Node_02,rep_019,122425.9999,0.000622278,0.073778124,1.51169733,293.8766089
Node_02,rep_020,121135.7063,0.000637041,0.074468629,1.525982088,300.3307202
Node_02,rep_021,120914.1533,0.000568975,0.075159733,1.490669568,293.9745168
Node_02,rep_022,121445.779,0.000618229,0.077518231,1.51512792,323.972418
Node_02,rep_023,121739.7634,0.000591432,0.074894872,1.510242567,317.6859728
Node_02,rep_024,121587.3083,0.000613444,0.076193259,1.533137477,310.5072462
Node_02,rep_025,121767.8294,0.000623824,0.07704901,1.503860169,315.3527135
Node_02,rep_026,121856.2234,0.000648243,0.078200807,1.507085674,348.6879034
Node_02,rep_027,120796.2276,0.000604206,0.075070185,1.491197843,334.4088522
Node_02,rep_028,121750.9011,0.000637244,0.076448776,1.508250399,315.5113434
Node_02,rep_029,120755.3896,0.000628952,0.076209843,1.52896156,313.3109074
Node_02,rep_030,122198.3362,0.000637289,0.075556665,1.512500055,332.5247876
Node_02,rep_031,122129.7758,0.000627175,0.07558911,1.512548309,332.8055396
Node_02,rep_032,121242.2451,0.000612982,0.074016023,1.508265754,303.9607433
Node_02,rep_033,120588.1116,0.000586404,0.076652502,1.511436737,305.7668262
Node_02,rep_034,122200.0946,0.000586589,0.075131404,1.513502042,279.0146665
Node_02,rep_035,121678.5605,0.00062984,0.077034843,1.516380421,322.8383208
Node_02,rep_036,121166.5122,0.000662034,0.075605377,1.530005623,323.1995078
Node_02,rep_037,122322.15,0.00057524,0.076282103,1.509359227,315.7178545
Node_02,rep_038,121453.3416,0.000615119,0.076723374,1.517193904,327.5696697
Node_02,rep_039,122413.5672,0.000589487,0.078650753,1.503616476,332.889661
Node_02,rep_040,121868.1231,0.000572589,0.073402393,1.502761977,287.4906324
Node_02,rep_041,121371.4273,0.000642128,0.07604972,1.491253351,338.345717
Node_02,rep_042,120710.2735,0.000605675,0.075955458,1.512618908,324.6597437
Node_02,rep_043,120928.5768,0.000602516,0.077025402,1.481651589,312.4038826
Node_02,rep_044,121147.6701,0.000639259,0.079023076,1.50196385,343.5516889
Node_02,rep_045,121703.8972,0.000630995,0.076107772,1.523895315,313.3792345
Node_02,rep_046,121433.784,0.000585685,0.074277868,1.520517807,296.3336202
Node_02,rep_047,121378.8406,0.00059482,0.075942334,1.507025193,314.843205
Node_02,rep_048,120899.2703,0.00064854,0.076934657,1.498624673,338.6962869
Node_02,rep_049,121853.5024,0.000583253,0.075628617,1.48355644,330.5871622
Node_02,rep_050,121090.3873,0.000606191,0.075869618,1.517180625,323.6334183
Node_02,rep_051,121466.7634,0.000621412,0.079043735,1.506154861,335.909556
Node_02,rep_052,121733.07,0.0006383,0.078303346,1.499781538,343.3157937
Node_02,rep_053,121254.0517,0.000671197,0.076733008,1.502788239,339.1732408
Node_02,rep_054,122500.9222,0.000578272,0.07502159,1.507020247,279.3974733
Node_02,rep_055,120965.2374,0.000604297,0.076852082,1.487293061,314.888206
Node_02,rep_056,120745.9226,0.000618879,0.075859047,1.528640776,314.8831199
Node_02,rep_057,121433.5536,0.000595782,0.077494543,1.503392898,340.3623745
Node_02,rep_058,121738.9747,0.000588127,0.073552828,1.522703698,294.3276418
Node_02,rep_059,120640.5357,0.000582537,0.07482748,1.496260654,299.6978958
Node_02,rep_060,121410.69,0.000590832,0.073479947,1.50493758,297.4996769
Node_02,rep_061,120797.1638,0.000608948,0.072616697,1.521329258,290.6976373
Node_02,rep_062,122123.856,0.000616679,0.078668954,1.510169244,334.6098047
Node_02,rep_063,121348.6636,0.000620449,0.077255918,1.493360318,327.0148473
Node_02,rep_064,122768.3435,0.000579876,0.073443166,1.508806023,289.3900675
Node_02,rep_065,121012.5592,0.000581305,0.075991763,1.514188313,306.9376303
Node_02,rep_066,120730.8311,0.000574677,0.074700335,1.502339883,313.3339488
Node_02,rep_067,120838.6591,0.00062972,0.075464338,1.517724886,320.1411793
Node_02,rep_068,122320.4275,0.000633767,0.078139369,1.517017129,307.8516766
Node_02,rep_069,122374.3591,0.000639959,0.07510375,1.524589385,320.956601
Node_02,rep_070,121057.1553,0.000612413,0.079529026,1.496488974,336.1288418
Node_02,rep_071,121045.1366,0.000660742,0.074520894,1.51504946,307.1228127
Node_02,rep_072,121542.3358,0.000605895,0.07489433,1.509428455,297.8294737
Node_02,rep_073,121466.2124,0.000623524,0.075974796,1.492990998,331.7971518
Node_02,rep_074,121009.0392,0.000628032,0.075357839,1.531178285,315.9618665
Node_02,rep_075,121975.0638,0.000565946,0.075767128,1.507674253,317.7784058
Node_02,rep_076,121450.9269,0.000590054,0.075523794,1.511483163,291.9935023
Node_02,rep_077,121219.2415,0.000675369,0.076756495,1.524475217,321.5255692
Node_02,rep_078,122562.0544,0.00062734,0.074964427,1.520725615,286.5553438
Node_02,rep_079,121071.3324,0.000626849,0.075204448,1.511566477,304.9315753
Node_02,rep_080,121064.87,0.000665633,0.075919996,1.503831312,327.4518164
Node_02,rep_081,121740.9962,0.000576971,0.074387749,1.519110093,313.8242231
Node_02,rep_082,121071.811,0.000625909,0.077178184,1.493963088,312.8690251
Node_02,rep_083,121072.9034,0.000639824,0.07933889,1.510670679,340.7593706
Node_02,rep_084,120760.9751,0.000635351,0.075361502,1.51295613,320.6954097
Node_02,rep_085,121550.6698,0.000626673,0.075807255,1.517764281,285.7244093
Node_02,rep_086,121982.8363,0.000597332,0.076012288,1.495988032,325.8516444
Node_02,rep_087,120375.1443,0.000643863,0.077478098,1.505588897,348.0001088
Node_02,rep_088,121070.2523,0.000623972,0.078270557,1.502711157,342.951723
Node_02,rep_089,122085.99,0.000674034,0.076702045,1.503955573,323.1829527
Node_02,rep_090,120696.5228,0.000570113,0.076454335,1.48600314,323.0712944
Node_02,rep_091,121419.1372,0.000636743,0.077518241,1.498180515,315.4060253
Node_02,rep_092,121644.1899,0.000606731,0.073805719,1.502095808,303.7361584
Node_02,rep_093,121595.9747,0.000583873,0.07660638,1.47865853,314.1209122
Node_02,rep_094,122361.9765,0.000616285,0.078516811,1.510606022,321.8133572
Node_02,rep_095,121782.5244,0.000581716,0.075128825,1.520209054,311.7564291
Node_02,rep_096,121636.5415,0.000595818,0.076292913,1.509288069,280.2389127
Node_02,rep_097,122162.2694,0.000615162,0.075376577,1.515135316,296.5142371
Node_02,rep_098,121373.3118,0.000612143,0.073008793,1.51506755,295.1362543
Node_02,rep_099,122567.7048,0.000579982,0.076273125,1.491018623,328.6111391
Node_02,rep_100,121482.8104,0.000591608,0.076584778,1.480671542,313.1629604
Node_03,rep_001,113771.8266,0.000553239,0.071464488,1.508088489,298.6532578
Node_03,rep_002,113507.3006,0.000574248,0.074482608,1.488701741,306.9625966
Node_03,rep_003,113113.8028,0.000565529,0.07387712,1.490506254,322.4607102
Node_03,rep_004,113610.7274,0.000577704,0.071744275,1.514511678,290.9573731
Node_03,rep_005,114282.7298,0.000587628,0.075546602,1.502105366,334.4235996
Node_03,rep_006,113153.2977,0.000547857,0.073991137,1.507861625,288.1123267
Node_03,rep_007,113320.4014,0.000560204,0.074707746,1.501765754,329.077903
Node_03,rep_008,113255.2546,0.000576523,0.072963072,1.523214728,309.0246735
Node_03,rep_009,114002.3228,0.000523577,0.074680742,1.503836594,306.685972
Node_03,rep_010,113433.0701,0.000605758,0.07266199,1.512973304,317.9841419
Node_03,rep_011,114426.5335,0.000585196,0.073286773,1.51574344,321.3676127
Node_03,rep_012,113241.7943,0.000570838,0.074157897,1.505900681,338.6641318
Node_03,rep_013,112809.5313,0.000567483,0.075120932,1.505148008,301.1075987
Node_03,rep_014,113464.076,0.000556322,0.07194881,1.502789091,297.3080036
Node_03,rep_015,114109.2932,0.000586456,0.074585598,1.507531704,338.648264
Node_03,rep_016,114303.8626,0.000575159,0.072337425,1.489712539,325.4403967
Node_03,rep_017,114064.2099,0.000548124,0.072401085,1.510520737,295.7600042
Node_03,rep_018,113761.345,0.000610978,0.07310925,1.515267296,318.2567343
Node_03,rep_019,114593.9462,0.000571247,0.071579876,1.507233176,293.0785136
Node_03,rep_020,113683.7846,0.000598123,0.072396953,1.522400205,298.4438661
Node_03,rep_021,113436.7697,0.000512783,0.073147309,1.487705392,287.981337
Node_03,rep_022,113797.4315,0.000569336,0.074861093,1.511335598,316.5055751
Node_03,rep_023,114104.5339,0.000534145,0.072371685,1.505892508,311.6465202
Node_03,rep_024,114070.034,0.000567655,0.07389485,1.526968371,306.5114447
Node_03,rep_025,114160.1145,0.000572681,0.074498797,1.500711813,309.2049586
Node_03,rep_026,114112.7053,0.000597279,0.075008737,1.504348986,339.9209607
Node_03,rep_027,113193.7537,0.000553944,0.072380083,1.489948267,326.0612139
Node_03,rep_028,114072.5675,0.000590457,0.074179865,1.505899727,308.0903146
Node_03,rep_029,113360.4922,0.000580245,0.073812445,1.522986465,308.2601742
Node_03,rep_030,114390.4934,0.000589949,0.072876554,1.508510963,326.0638529
Node_03,rep_031,114271.8384,0.000581468,0.072960513,1.509067067,326.0510859
Node_03,rep_032,113755.9984,0.000564304,0.071778785,1.505523488,300.0619916
Node_03,rep_033,113083.6597,0.000528775,0.074283915,1.505857334,298.8879981
Node_03,rep_034,114203.302,0.000536336,0.07330412,1.508256924,275.2807029
Node_03,rep_035,114133.0722,0.000582772,0.074629281,1.512106676,314.5237998
Node_03,rep_036,113444.9535,0.000618045,0.07319151,1.526264486,318.9817835
Node_03,rep_037,114640.0418,0.00052479,0.074021263,1.504304366,306.3449624
Node_03,rep_038,113984.5152,0.000567094,0.074143285,1.514011969,320.4005025
